angle_deg,trial_seed,firing_rate_hz
0.0,1,20.0
0.0,2,14.0
0.0,3,18.0
0.0,4,17.0
0.0,5,19.0
30.0,1,11.0
30.0,2,15.0
30.0,3,14.0
30.0,4,17.0
30.0,5,18.0
60.0,1,8.0
60.0,2,9.0
60.0,3,11.0
60.0,4,15.0
60.0,5,11.0
90.0,1,11.0
90.0,2,10.0
90.0,3,9.0
90.0,4,12.0
90.0,5,10.0
120.0,1,11.0
120.0,2,9.0
120.0,3,10.0
120.0,4,11.0
120.0,5,10.0
150.0,1,10.0
150.0,2,10.0
150.0,3,11.0
150.0,4,11.0
150.0,5,10.0
180.0,1,11.0
180.0,2,10.0
180.0,3,11.0
180.0,4,11.0
180.0,5,10.0
210.0,1,12.0
210.0,2,8.0
210.0,3,13.0
210.0,4,12.0
210.0,5,8.0
240.0,1,22.0
240.0,2,20.0
240.0,3,19.0
240.0,4,19.0
240.0,5,20.0
270.0,1,19.0
270.0,2,17.0
270.0,3,22.0
270.0,4,19.0
270.0,5,22.0
300.0,1,19.0
300.0,2,19.0
300.0,3,20.0
300.0,4,20.0
300.0,5,21.0
330.0,1,21.0
330.0,2,19.0
330.0,3,17.0
330.0,4,18.0
330.0,5,20.0
