angle_deg,synapse_index,onset_time_ms
0,0,111.9950
0,1,102.6800
0,2,100.0700
0,3,100.0000
0,4,103.0600
0,5,100.0000
0,6,111.7400
0,7,112.1300
0,8,113.2250
0,9,100.0000
0,10,103.7450
0,11,100.0450
0,12,100.0000
0,13,100.0000
0,14,112.2850
0,15,100.0000
0,16,100.5500
0,17,116.0550
0,18,108.2600
0,19,121.8750
0,20,100.0000
0,21,101.0600
0,22,118.8750
0,23,113.3950
0,24,116.2600
0,25,111.5400
0,26,100.0000
0,27,100.0000
0,28,110.1000
0,29,109.6450
0,30,107.9850
0,31,106.5350
0,32,100.0000
0,33,107.4200
0,34,109.3000
0,35,110.9650
0,36,122.1700
0,37,100.0000
0,38,100.0000
0,39,113.2050
0,40,100.0550
0,41,109.2200
0,42,105.0100
0,43,108.6250
0,44,104.0300
0,45,100.0000
0,46,100.0000
0,47,113.6200
0,48,100.0000
0,49,102.7400
0,50,116.2200
0,51,100.0000
0,52,100.0000
0,53,111.3350
0,54,108.3400
0,55,100.0000
0,56,130.8650
0,57,100.9950
0,58,100.0000
0,59,106.2250
0,60,112.2550
0,61,102.9000
0,62,100.0000
0,63,100.3800
0,64,108.3950
0,65,119.3500
0,66,100.0000
0,67,100.0000
0,68,117.6050
0,69,100.3250
0,70,113.7700
0,71,100.0000
0,72,133.7550
0,73,100.0000
0,74,107.4700
0,75,124.1050
0,76,112.5050
0,77,100.0000
0,78,100.0000
0,79,119.4300
0,80,104.7300
0,81,109.3500
0,82,111.2250
0,83,115.6950
0,84,120.8750
0,85,117.7350
0,86,104.8350
0,87,100.0000
0,88,100.0000
0,89,111.6150
0,90,100.0000
0,91,100.0000
0,92,100.0000
0,93,100.4750
0,94,100.0000
0,95,100.0000
0,96,100.0000
0,97,100.0000
0,98,100.0000
0,99,102.6600
30,0,110.6730
30,1,101.8459
30,2,113.8556
30,3,100.3847
30,4,100.0000
30,5,100.0000
30,6,110.4471
30,7,108.0499
30,8,104.9807
30,9,100.0000
30,10,100.0000
30,11,100.1165
30,12,100.0000
30,13,110.7925
30,14,108.2216
30,15,103.2447
30,16,100.0000
30,17,107.6140
30,18,117.5059
30,19,123.2318
30,20,108.4063
30,21,107.1630
30,22,122.9087
30,23,108.7754
30,24,112.3616
30,25,118.0739
30,26,100.0000
30,27,100.0000
30,28,110.8394
30,29,108.5153
30,30,109.1902
30,31,108.3045
30,32,100.1265
30,33,103.5409
30,34,102.9240
30,35,121.5985
30,36,119.2723
30,37,100.0000
30,38,100.0000
30,39,119.2159
30,40,100.0451
30,41,115.8898
30,42,103.8963
30,43,111.1495
30,44,103.7526
30,45,100.0000
30,46,100.0000
30,47,114.1903
30,48,107.9215
30,49,100.0000
30,50,101.5744
30,51,100.0000
30,52,100.0000
30,53,127.7864
30,54,111.0477
30,55,104.1544
30,56,126.8774
