angle_deg,trial_seed,firing_rate_hz
0,1,13.000000
0,2,13.000000
0,3,13.000000
0,4,13.000000
0,5,13.000000
0,6,13.000000
0,7,13.000000
0,8,13.000000
0,9,13.000000
0,10,13.000000
30,1001,12.000000
30,1002,12.000000
30,1003,12.000000
30,1004,12.000000
30,1005,12.000000
30,1006,12.000000
30,1007,12.000000
30,1008,12.000000
30,1009,12.000000
30,1010,12.000000
60,2001,10.000000
60,2002,10.000000
60,2003,10.000000
60,2004,10.000000
60,2005,10.000000
60,2006,10.000000
60,2007,10.000000
60,2008,10.000000
60,2009,10.000000
60,2010,10.000000
90,3001,12.000000
90,3002,12.000000
90,3003,12.000000
90,3004,12.000000
90,3005,12.000000
90,3006,12.000000
90,3007,12.000000
90,3008,12.000000
90,3009,12.000000
90,3010,12.000000
120,4001,13.000000
120,4002,13.000000
120,4003,13.000000
120,4004,13.000000
120,4005,13.000000
120,4006,13.000000
120,4007,13.000000
120,4008,13.000000
120,4009,13.000000
120,4010,13.000000
150,5001,6.000000
150,5002,6.000000
150,5003,6.000000
150,5004,6.000000
150,5005,6.000000
150,5006,6.000000
150,5007,6.000000
150,5008,6.000000
150,5009,6.000000
150,5010,6.000000
180,6001,6.000000
180,6002,6.000000
180,6003,6.000000
180,6004,6.000000
180,6005,6.000000
180,6006,6.000000
180,6007,6.000000
180,6008,6.000000
180,6009,6.000000
180,6010,6.000000
210,7001,5.000000
210,7002,5.000000
210,7003,5.000000
210,7004,5.000000
210,7005,5.000000
210,7006,5.000000
210,7007,5.000000
210,7008,5.000000
210,7009,5.000000
210,7010,5.000000
240,8001,0.000000
240,8002,0.000000
240,8003,0.000000
240,8004,0.000000
240,8005,0.000000
240,8006,0.000000
240,8007,0.000000
240,8008,0.000000
240,8009,0.000000
240,8010,0.000000
270,9001,11.000000
270,9002,11.000000
270,9003,11.000000
270,9004,11.000000
270,9005,11.000000
270,9006,11.000000
270,9007,11.000000
270,9008,11.000000
270,9009,11.000000
270,9010,11.000000
300,10001,6.000000
300,10002,6.000000
300,10003,6.000000
300,10004,6.000000
300,10005,6.000000
300,10006,6.000000
300,10007,6.000000
300,10008,6.000000
300,10009,6.000000
300,10010,6.000000
330,11001,13.000000
330,11002,13.000000
330,11003,13.000000
330,11004,13.000000
330,11005,13.000000
330,11006,13.000000
330,11007,13.000000
330,11008,13.000000
330,11009,13.000000
330,11010,13.000000
