gnmda_ns,angle_deg,trial_seed,sample_idx,t_ms,voltage_mv
0.000000,0,1,0,0.0000,-65.0000
0.000000,0,1,8,0.0707,-64.9854
0.000000,0,1,16,0.6925,-64.9161
0.000000,0,1,24,5.7031,-64.6221
0.000000,0,1,32,14.5994,-64.5431
0.000000,0,1,40,23.4957,-64.5550
0.000000,0,1,48,32.3920,-64.5604
0.000000,0,1,56,41.2882,-64.5625
0.000000,0,1,64,61.0579,-64.5615
0.000000,0,1,72,100.0080,-64.5602
0.000000,0,1,80,100.0488,-64.5279
0.000000,0,1,88,100.0700,-64.4918
0.000000,0,1,96,100.1142,-64.3816
0.000000,0,1,104,100.3250,-63.3674
0.000000,0,1,112,100.3800,-63.0124
0.000000,0,1,120,100.4539,-62.4979
0.000000,0,1,128,100.5137,-62.0607
0.000000,0,1,136,100.5801,-61.5611
0.000000,0,1,144,100.8842,-59.2492
0.000000,0,1,152,101.0265,-58.2352
0.000000,0,1,160,101.0807,-57.8674
0.000000,0,1,168,101.3737,-56.0244
0.000000,0,1,176,101.8241,-53.5036
0.000000,0,1,184,102.1452,-51.3904
0.000000,0,1,192,102.3740,-48.8508
0.000000,0,1,200,102.5317,-45.3739
0.000000,0,1,208,102.6614,-39.5749
0.000000,0,1,216,102.6827,-38.2045
0.000000,0,1,224,102.7318,-34.6000
0.000000,0,1,232,102.7596,-32.3480
0.000000,0,1,240,102.8495,-24.7212
0.000000,0,1,248,102.9040,-20.2771
0.000000,0,1,256,102.9788,-14.6652
0.000000,0,1,264,103.0710,-8.5936
0.000000,0,1,272,103.1860,-2.3207
0.000000,0,1,280,103.5037,7.7286
0.000000,0,1,288,103.7452,9.5411
0.000000,0,1,296,103.8352,9.3052
0.000000,0,1,304,104.0338,7.5182
0.000000,0,1,312,104.2304,4.4800
0.000000,0,1,320,104.7197,-6.0573
0.000000,0,1,328,104.8273,-8.6463
0.000000,0,1,336,104.8820,-9.9761
0.000000,0,1,344,105.0458,-13.9767
0.000000,0,1,352,105.3352,-20.9489
0.000000,0,1,360,106.0766,-36.7006
0.000000,0,1,368,106.2551,-39.9619
0.000000,0,1,376,106.5350,-44.7926
0.000000,0,1,384,106.6399,-46.5373
0.000000,0,1,392,107.1001,-53.6884
0.000000,0,1,400,107.4200,-57.7479
0.000000,0,1,408,107.4703,-58.2926
0.000000,0,1,416,107.6592,-60.1000
0.000000,0,1,424,107.9854,-62.4541
0.000000,0,1,432,108.1283,-63.2420
0.000000,0,1,440,108.2714,-63.9097
0.000000,0,1,448,108.3498,-64.2270
0.000000,0,1,456,108.4003,-64.4121
0.000000,0,1,464,108.5824,-64.9617
0.000000,0,1,472,108.6644,-65.1607
0.000000,0,1,480,109.0319,-65.7778
0.000000,0,1,488,109.2376,-66.0071
0.000000,0,1,496,109.3131,-66.0752
0.000000,0,1,504,109.3762,-66.1225
0.000000,0,1,512,109.6450,-66.2302
0.000000,0,1,520,109.7384,-66.2459
